ID,语句
03-094,思想无法解决心理上的痛苦，因为它本身就是痛苦的一部分。——《重新认识你自己》〔译〕
03-095,施恩不图报，才是真施恩；你若记着施过恩，便已把它变成了债。——《论恩惠·1·1》〔译〕
03-096,故圣人立法，明白易知，为置法官吏为之师，以道之知。——《商君书·定分》
03-097,死后灵魂将受审判，依其生前的正义或邪恶而定其去处。——〔译〕《高尔吉亚》523a—527a
03-098,对异见者当容，因你亦未必全知。——《宗教学科的复兴》〔译〕
03-099,少有所欲者，近于神。——〔译〕《残篇》DK B80（斯托拜乌斯转引）
03-100,风雨晦冥，最是助人幽思。——《徒然草》〔译〕
03-101,兵农合一，则国可富强。——《明夷待访录》 〔意译〕
03-102,善（the Good）在地位与力量上都高于知识与真理，如太阳高于光。——〔译〕《理想国》505a—509b
03-103,唯有否定意志，才能终结这无休止的挣扎。——《作为意志和表象的世界》〔译〕
03-104,人有三百六十节，偶天之数也；形体骨肉，偶地之厚也。——《春秋繁露·人副天数》
03-105,教育当培养德性，而非仅授技艺。——《宗教学科的复兴·卷一》〔译〕
03-106,江海所以能为百谷王者，以其不逆之，而能容其流也。——《老子注·六十六章》
03-107,政治，无法解决人的绝望问题。——《致死的疾病》（Anti-Climacus）〔译〕
03-108,一问一答、逐层追问，是通向真理的唯一方法。——柏拉图《申辩篇》（诘问法之描述）〔意译〕
03-109,天地与其所产焉，物也。物以物其所物而不过焉，实也。实以实其所实而不旷焉，位也。——《公孙龙子·名实论》
03-110,中国哲学之特质，在生命之印证。——《中国哲学十九讲》 〔意译〕
03-111,心之自律，即道德之真源。——《心体与性体·第一部》 〔意译〕
03-112,我与自己之间，隔着整个世界的喧哗。——《日记》（Papirer）〔译〕
03-113,民者，邦之本；本固则邦宁。——《原儒·卷三》 〔意译〕
03-114,耶稣受苦，使人的悲惨不再孤独。——《思想录》L317〔意译〕
03-115,故明主不滥富贵其臣。——《商君书·修权》
03-116,知识的意义，不在于积攒答案，而在于学会提问。——《客观知识》〔意译〕
03-117,有死者是不死的，不死者是会死的：后者活在前者的死之中，前者死在后者的生之中。——〔译〕《残篇》DK B62（希波吕托斯《驳一切异端》转引）
03-118,仁义礼智，非由外铄我也，我固有之也。——《孟子·告子上》
03-119,时间不是绝对的实体，而是事物相继的秩序。——《与克拉克论战书信集》第三函〔意译〕
03-120,学者必先于读《论》《孟》。——《遗书》卷十五
03-121,太阳与月亮是炽热的圆团，或如烧红的石。——〔译〕《残篇》DK B165（艾修斯转引）
03-122,众生无边，誓愿度之，是菩萨之本誓。——《正法眼藏·発菩提心》
03-123,心者，形之君也，而神明之主也。——《荀子·解蔽》
03-124,虚静以待，令名自命也，令事自定也。——《韩非子·扬权》
03-125,昔者庄周梦为胡蝶，栩栩然胡蝶也……不知周之梦为胡蝶与？胡蝶之梦为周与？——《庄子·齐物论》
03-126,善学者如关津，不可胡乱放人过。——《语录》（卷三十五）
03-127,闲来无事不从容，睡觉东窗日已红。万物静观皆自得，四时佳兴与人同。——《秋日》
03-128,神不偏待人；祂只把人放在不同的境遇里，以试其德。——《论天意·3》〔译〕
03-129,帝是理为主。——《语类》卷一
03-130,不要对他人之悲闭上眼，因你也是人。——《玛斯纳维·卷三》〔译〕
03-131,数学的方法可以推广到一切其他知识领域。——《谈谈方法》第二部分〔意译〕
03-132,灵魂由圆而炽的原子（火）构成，正是它赋予生命。——〔译〕《残篇》DK B105（第欧根尼·拉尔修 IX 转引）
03-133,宽恕冒犯你的人，如同原谅从前的自己；他依其判断而行，正如你也曾行错。——《论愤怒·3》〔译〕
03-134,公道是纠正法律因普遍而生的偏差，使个案归于平等。——〔译〕《尼各马可伦理学》1134a—b
03-135,学习就是回忆。——柏拉图《美诺篇》81d〔译〕※
03-136,肉体的快乐，在匮乏之苦除去之后便不再增长。——〔译〕《主要学说》KD 18
03-137,天理只是仁、义、礼、智之总名，仁、义、礼、智便是天理之件数。——《语类》卷十三
03-138,社会把异常者定为罪人，以保全它的秩序。——《局外人》〔意译〕
03-139,检查，是一种把可见性与权力结合的技术。——《规训与惩罚》〔译〕
03-140,知识来自两个大原则：矛盾律与充足理由律。——《单子论》第31节〔意译〕
03-141,彼亦一是非，此亦一是非。——《庄子·齐物论》
03-142,凡你所愿，当先问：它是否合乎你真正的目的？手段之善，在于指向目的。——《神学大全·I-II·q.1·a.1》〔译〕
03-143,人在处境中行动，方才真实。——《存在主义是一种人道主义》〔意译〕
03-144,心之体甚大，若能尽我之心，便与天同。——《语录》（卷三十五） #self-other
03-145,假定真理是一个女人——那么所有哲学家，只要他们是教条主义者，就都不懂女人。——《善恶的彼岸·序言》〔意译〕
03-146,君子和而不同，小人同而不和。——《论语·子路》
03-147,形全者神全。——《庄子注·达生》
03-148,心地无非自性戒，心地无痴自性慧，心地无乱自性定。——《坛经》（敦煌本）
03-149,科学之成，在知性主体之独立。——《现象与物自身》 〔意译〕
03-150,俗世之爱，如蛛网；主之爱，如磐石。——《宗教学科的复兴》〔译〕
03-151,利不欲其遗于下，福不欲其擅于上。——《明夷待访录·财计》 〔意译〕
03-152,理性，是公共讨论中最终的裁判。——《论自由·第二章》〔译〕
03-153,行端直则无祸害，无祸害则尽天年。——《韩非子·解老》
03-154,其道舛驳，其言也不中。——《庄子·天下》（庄子评其说）
03-155,你绝不能认识那不存在者，也不能将它说出；因为可被思者与存在者同一。——〔译〕《论自然》残篇 DK B7（辛普里丘转引）
03-156,我们的一切不幸都来自一件事：不知道如何安静地待在自己的房间里。——《思想录》L164〔意译〕
03-157,物无妄然，必由其理。——《周易略例·明彖》
03-158,两性在法律与机会上的平等，是社会进步的标尺。——《论妇女的从属地位》〔译〕
03-159,法律（沙里亚）是身之药，苏非之知是心之药。——《宗教学科的复兴》〔译〕
03-160,阴阳二气充满太虚，此外更无他物。——《张子正蒙注·太和篇》
03-161,若识众生，即是佛性；若不识众生，万劫觅佛难逢。——《坛经》（敦煌本）
03-162,为其所难者，必得其所欲焉。——《墨子·亲士》
03-163,夫物之相胜，或以筋力，或以气势，或以巧便。——《论衡·物势》
03-164,文由胸中而出，心以文为表。——《论衡·书解》
03-165,凡是不可说的，必须保持沉默。——《逻辑哲学论》7〔译〕
03-166,圣贤不能性知，须任耳目以定情实。——《论衡·知实》
03-167,宇宙实体，备万理，含万德，肇万化。——《新唯识论·卷上》
03-168,越名教而任自然。——《释私论》
03-169,信念是一种与当前印象相联的生动感觉。——《人性论》卷一·部三·章十〔意译〕
03-170,天职生养，而圣人成能。——《周易外传》 〔意译〕
03-171,你未看此花时，此花与汝心同归于寂；你来看此花时，则此花颜色一时明白起来。——《传习录》 下 #self-other
03-172,菩提本无树，明镜亦无台，佛性常清净，何处有尘埃。——《坛经》（敦煌本「菩提偈」）
03-173,祭祀与神像不能使人虔诚，唯生活能。——〔意译〕《名哲言行录》卷六（据其反仪式言行）
03-174,基督的受难，是对一切世俗荣耀的否定。——《恐惧与颤栗》（Johannes de Silentio）〔译〕
03-175,即便无望，我仍选择忠实于自己。——《西西弗神话》〔意译〕
03-176,定乎内外之分，辩乎荣辱之境，斯已矣。——《庄子·逍遥游》
03-177,在众神之中，她首先造出爱若斯（Eros）以使万有相合。——〔译〕《论自然》残篇 DK B12（辛普里丘转引）
03-178,责任，是出于对法则之尊重的行动必然性。——《道德形而上学奠基》〔译〕
03-179,事物因分有理型而得其名与性，理型本身不杂于事物。——〔译〕《斐多》100c—102a
03-180,信仰是：不愿知道真相。——《敌基督》第52节〔意译〕
03-181,当乌鸦啼叫或征兆出现，不要说「它预示凶吉」，而说「它只是一个征兆，其意义由我判断」。——《手册·18》〔译〕
03-182,若万物都化为烟，鼻孔自会分辨。——〔译〕《残篇》DK B7（塞克斯都·恩披里柯转引）
03-183,百姓足，君孰与不足？百姓不足，君孰与足？——《论语·颜渊》
03-184,为学之实，固在践履。苟徒知而不行，诚与不学无异。——《语类》
03-185,一兔走，百人逐之，非以兔为可分以为百，由名之未定也。——《商君书·定分》
03-186,贪愎喜利，则灭国杀身之本也。——《韩非子·十过》
03-187,有豪杰而不圣贤者矣，未有圣贤而不豪杰者也。——《俟解》
03-188,真正的哲学思考始于我对自身认知能力的彻底反思。——《笛卡尔式的沉思》〔意译〕
03-189,内在的被给予性具有绝对的明见，外在的超越则始终需要证明。——《纯粹现象学通论》§44〔译〕
03-190,我唯一知道的，就是我一无所知。——柏拉图《申辩篇》21d〔译〕
03-191,在必须认错的事情上仍坚持真实，是人格的底线。——《道德形而上学》〔译〕
03-192,自欺者把自己当作被造物，以此卸责。——《存在与虚无》〔译〕
03-193,人苟以善自治，则无不可移者。——《遗书》卷二十五
03-194,德性所知，不萌于见闻。——《正蒙·大心》
03-195,知人者智，自知者明。——《道德经·第三十三章》
03-196,正如绳被误认为蛇，人以无明将梵误作世界；如实知绳，则蛇怖自灭。——《梵经注·卷二》〔译〕
03-197,自我的确定性，像呼吸一样先于一切提问。——《蓝皮书与褐皮书》〔意译〕
03-198,现代社会的「社会」领域，吞没了公私之间的界线。——《人的境况》〔译〕
03-199,天下无白，不可以视石；天下无坚，不可以谓石。坚、白、石不相外，藏三可乎？曰：有自藏也，非藏而藏也。——《公孙龙子·坚白论》
03-200,政府的正当性，来自被治者的同意。——《代议制政府》〔译〕
03-201,现在我该走了：我去死，你们去活。谁的去处更好，只有神知道。——柏拉图《申辩篇》42a
03-202,心外无物，心外无事，心外无理，心外无义，心外无善。——《传习录》上
03-203,身之主宰便是心，心之所发便是意。——《传习录》上
03-204,超越头脑的是一片原野，自我在那里消融。——《玛斯纳维·卷三》〔译〕
03-205,余性好直，故多忤于人。——《焚书·自赞》
03-206,群生相待而有，非孤立可存。——《原儒·卷三》 〔意译〕
03-207,万物皆由神从虚无中创造；受造非神之必然，乃其自由的美意。——《神学大全·I·q.45·a.1》〔译〕
03-208,若大乘人、最上乘人，闻说《金刚经》，心开悟解。——《坛经》（敦煌本）
03-209,我选择在世界面前保持直立。——《夏天》〔意译〕
03-210,正其所实者，正其名也。——《公孙龙子·名实论》
03-211,百物去其所与异，而从其所与同。——《春秋繁露·同类相动》
03-212,是非之心，人皆有之，不见于行，而见于言。——《焚书·答耿中丞》
03-213,差别是表象，合一是实相。——《玛斯纳维·卷三》〔译〕
03-214,性者，天质之朴也；善者，王教之化也。无其质，则王教不能化；无其王教，则质朴不能善。——《春秋繁露·实性》
03-215,白马非马，马之非马，此天下之至辩也。——《公孙龙子·迹府》
03-216,父母恩重，犹如大地，一肩持父、一肩持母，亦未能报。——《杂阿含经·卷四十三》（一子品）
03-217,意志，是世界的自在之物。——《作为意志和表象的世界》〔译〕
03-218,我把自由理解为：不被那样统治的可能。——《什么是批判》〔意译〕
03-219,宁可起我见如须弥山，不可恶取空如芥子许。——《大智度论·卷三十一》（戒恶取空）
03-220,人得到自己所愿得的一切，并不更好。——〔译〕《残篇》DK B110（普鲁塔克《如何辨别谄媚者》转引）
03-221,君子耻不修，不耻见污；耻不信，不耻不见信。——《荀子·非十二子》
03-222,故六经未必为太阳，不学未必为长夜。——《难自然好学论》
03-223,我所能做的，只是让你们自己发现答案，而不是替你们说出答案。——柏拉图《泰阿泰德篇》（助产术自述）〔意译〕※
03-224,其政闷闷，其民淳淳；其政察察，其民缺缺。——《道德经·第五十八章》
03-225,物质是现象，其底层是单子的聚合。——《单子论》第49节〔意译〕
03-226,每个人的自由发展，是一切人自由发展的条件。——《共产党宣言》〔译〕
03-227,民不畏死，奈何以死惧之？——《道德经·第七十四章》
03-228,藏于心者无以竭爱，动于身者无以竭恭。——《墨子·修身》
03-229,自我发展的权利，高于习俗的权威。——《论自由·第三章》〔译〕
03-230,三军可夺帅也，匹夫不可夺志也。——《论语·子罕》
03-231,世界历史，是自由意识进展的历史。——《历史哲学讲演录》〔译〕
03-232,夫哀心藏于内，遇和声而后发；和声无象，而哀心有主。——《声无哀乐论》
03-233,体者，具万理而无妄，备万德而恒如。——《新唯识论·卷上》
03-234,世界，是我的表象。——《作为意志和表象的世界·第一篇》〔译〕#self-other
03-235,余之落发，岂无故哉！——《焚书·感慨平生》
03-236,如来说法，如师子吼，不畏于他。——《杂阿含经·卷三十二》
03-237,培养你内在的园圃，莫管他人之田。——《玛斯纳维·卷二》〔译〕
03-238,神的全部观念，是从古代东方的专制主义中衍生的。——《为什么我不是基督徒》〔译〕
03-239,故曰：白马非马也。——《公孙龙子·白马论》
03-240,天地之用，皆我之用；孟子言「万物皆备于我」，须反身而诚，乃为大乐。——《识仁篇》 #self-other
03-241,真正的主体性，是参与到伦理实体之中。——《法哲学原理》〔译〕
03-242,君子之行贤也，不察于有度而后行也；任心无穷，不识于善而著也。——《释私论》
03-243,性复疏懒，筋驽肉缓。——《与山巨源绝交书》
03-244,我们当使那神圣的理性居于身体顶端，统御全体，一如天统辖地。——〔译〕《蒂迈欧》90a—d
03-245,理性居于人的头部，统御那必朽的部分。——〔译〕《蒂迈欧》69c—70a
03-246,悔改，是不断回到自我、重新开始。——《致死的疾病》（Anti-Climacus）〔译〕
03-247,爱不止于情人相拥，爱是消融「你」「我」之界。——《玛斯纳维·卷三》〔译〕
03-248,何期自性本自清净；何期自性本不生灭；何期自性本自具足；何期自性本无动摇；何期自性能生万法。——《坛经·行由品》（敦煌本）
03-249,人生的智慧，首要在于摆正自己与自身的关系。——《附录与补遗·人生的智慧》〔译〕
03-250,百学须先立志。——《语类》
03-251,六经皆圣人之制作，所以揭宇宙之真，示人生之正。——《读经示要·卷一》
03-252,一姓之兴亡，私也；而生民之生死，公也。——《读通鉴论·卷十七》
03-253,士虽有学，而行为本焉。——《墨子·修身》
03-254,兵者，诡道也。——《孙子兵法·计篇》
03-255,灵魂是潜在具有生命的自然身体的第一实现（形式）。——〔译〕《论灵魂》412a—b
03-256,君之视臣如手足，则臣视君如腹心；君之视臣如土芥，则臣视君如寇仇。——《孟子·离娄下》
03-257,夫人君莫不欲安存而恶危亡，然而政乱国危者，所在皆是，岂可不慎哉！——《汉书·董仲舒传》（举贤良对策）
03-258,我探察了我自己。——〔译〕《残篇》DK B101（第欧根尼·拉尔修 IX.5 转引）
03-259,我善养吾浩然之气。——《孟子·公孙丑上》
03-260,我愿做那发出不和谐之声的人，也不做齐声合唱的一员。——《过去与未来之间》〔意译〕
03-261,容忍异见者，是基督徒与公民的双重义务。——《论宗教宽容》〔意译〕
03-262,静坐非枯寂，要在观未发之中。——《明儒学案》 〔意译〕
03-263,凡文之不关于六经之指、当世之务者，一切不为。——《亭林文集·与人书三》
03-264,教育不是把视力放进瞎子的灵魂，而是使整个灵魂转向光明。——〔译〕《理想国》518c—d
03-265,自我（ego）是冲突与分裂的中心。——《重新认识你自己》〔译〕
03-266,私欲之中，天理所寓。——《读通鉴论》 〔意译〕
03-267,我的工作，是让那些被视为「自然」之物显露出它的历史偶然。——《知识考古学》〔意译〕
03-268,人法若违自然法，便不成其为法；强权非法，唯义为法。——《神学大全·I-II·q.95·a.2》〔译〕
03-269,山河不改，人事已非。——《徒然草》〔译〕
03-270,不要因自己尚无苏格拉底的德性而沮丧，但要像朝着那个目标前进的人那样生活。——《手册·33》〔译〕
03-271,此心光明，亦复何言。——《传习录》下（临终语）
03-272,真理，在群众中蒸发。——《日记》（Papirer）〔译〕
03-273,爱与知识，只要可能，就把人引向天堂；唯有怜悯总把我带回尘世。——《自传·序言》〔译〕
03-274,真理之全体，在非分别说的圆融中显。——《圆善论》 〔意译〕
03-275,太虚无形，气之本体；其聚其散，变化之客形尔。——《正蒙·太和》
03-276,乾道成男，坤道成女。——《太极图说》
03-277,真理（aletheia）原意是无蔽，而非命题符合。——《存在与时间》§44〔译〕
03-278,我们因行公正之举而成为公正之人，因节制之举而成为节制之人。——〔译〕《尼各马可伦理学》1104a—b
03-279,圣人书卷千卷，不及杯中酒一字真。——《鲁拜集》〔译〕
03-280,天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。——《道德经·第五章》
03-281,忘适之适，乃天下之至适。——《庄子注·达生》
03-282,你必须成为自己的光。——《人生中不可不想的事》〔译〕
03-283,把自身交托给最本己的能在，是此在的最高自由。——《存在与时间》§62〔译〕
03-284,内省不疚，夫何忧何惧？——《论语·颜渊》
03-285,我常常感到惊讶：我们爱自己胜过爱他人，却更在意他人的看法胜过自己的看法。——《沉思录》卷十·33〔意译〕
03-286,存在者圆满自足，不欠缺任何部分，如球体般无懈可击。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
03-287,当下即是，不待他日。——《正法眼藏·現成公案》
03-288,风雨不问人间愁，自来自去。——《鲁拜集》〔译〕
03-289,寂然至无，是其本矣。——《老子注·二十五章》
03-290,对所有人来说，认识自己与清醒思考，乃是一种德性与智慧。——〔译〕《残篇》DK B116（斯托拜乌斯《选集》转引）
03-291,人只有在临界处境中，才真正面对自己的存在。——《哲学》第一卷〔意译〕
03-292,我虽微小，却蒙你以形象造我；这形象纵被罪污，仍未灭。——《论三位一体·14·3》〔译〕
03-293,学者大病，在师心自用。——《语录》
03-294,攻其无备，出其不意。——《孙子兵法·计篇》
03-295,如一瓶破而同归于土，多我实皆归梵。——《梵经注·卷二》〔译〕
03-296,世界上真正麻烦的，是愚人过于确信、智者充满怀疑。——《怀疑论集》⚠️〔通行转述，详见第五节〕
03-297,快乐非生成而是实现活动；它完满地伴随每种活动而生。——〔译〕《尼各马可伦理学》1153a—b
03-298,行动的危险，在于它一经作出便不可撤销。——《人的境况》〔译〕
03-299,灵魂的最大之善，是审慎（phronesis）。——〔译〕《梵蒂冈格言集》VS 79
03-300,唯有自主选择，才使行为真正属于我。——《论自由》〔译〕
