传统,人物,时代,派别,核心关切,文体,可靠度,A对自我,B对外界,合计,A占比
中国哲学,老子,春秋,道家（创始人）,本体—宇宙,诗体,亲著,28,32,60,0.467
中国哲学,熊十力,近代,新儒家（当代新儒家）,本体—宇宙,论说体,亲著,26,30,56,0.464
中国哲学,牟宗三,近代,当代新儒家,本体—宇宙,论说体,亲著,24,32,56,0.429
中国哲学,顾炎武,明末清初,实学（亭林学派）,制度—政治,论说体,亲著,22,34,56,0.393
中国哲学,僧肇,东晋（十六国·后秦）,中国佛学（般若中观）,本体—宇宙,论说体,亲著,21,35,56,0.375
中国哲学,墨子,春秋末—战国初,墨家（创始人）,制度—政治,论说体,亲著,20,34,54,0.37
中国哲学,黄宗羲,明末清初,实学（梨洲学派）,制度—政治,论说体,亲著,20,36,56,0.357
中国哲学,王夫之,明末清初,气学（船山学派）,本体—宇宙,论说体,亲著,20,37,57,0.351
中国哲学,商鞅,战国,法家,制度—政治,论说体,亲著,18,42,60,0.3
中国哲学,公孙龙,战国,名家,名实—逻辑,论说体,亲著,16,45,61,0.262
中国哲学,惠施,战国,名家,名实—逻辑,残篇,残篇,5,17,22,0.227
伊斯兰与波斯,安萨里,11—12世纪,伊斯兰神学 / 苏非主义,修养—救赎,论说体,亲著,28,28,56,0.5
伊斯兰与波斯,海亚姆（奥马尔·海亚姆）,11—12世纪,波斯诗人 / 数学家（鲁拜体裁）,存在—自由,诗体,亲著,28,28,56,0.5
伊斯兰与波斯,鲁米,13世纪,苏非主义（玛斯纳维传统）,修养—救赎,诗体,亲著,28,28,56,0.5
印度哲学,释迦牟尼,前6—前5世纪,佛教（创始人）,修养—救赎,语录体,弟子辑录,28,27,55,0.509
印度哲学,克里希那穆提,20世纪,无派别（反权威、反组织）,修养—救赎,语录体,弟子辑录,28,28,56,0.5
印度哲学,商羯罗,8世纪,吠檀多不二论（Advaita Vedānta）,本体—宇宙,注疏体,亲著,28,28,56,0.5
印度哲学,龙树,2—3世纪,中观派（创始人）,本体—宇宙,论说体,亲著,28,28,56,0.5
日本哲学,吉田兼好,14世纪,日本随笔 / 隐遁者（兼好法师）,修养—救赎,私人笔记,亲著,28,28,56,0.5
日本哲学,道元,13世纪,日本曹洞宗（创始人）,修养—救赎,论说体,亲著,28,28,56,0.5
西方哲学,爱比克泰德,罗马帝国初期,斯多亚学派,修养—救赎,语录体,弟子辑录,34,30,64,0.531
西方哲学,克尔凯郭尔,19世纪,存在主义先驱 / 基督教存在主义,存在—自由,论说体,亲著,38,34,72,0.528
西方哲学,叔本华,19世纪,唯意志论 / 悲观主义,存在—自由,论说体,亲著,38,35,73,0.521
西方哲学,德谟克利特,前5世纪,原子论（与留基伯共创）,本体—宇宙,残篇,残篇,32,30,62,0.516
西方哲学,密尔,19世纪,功利主义 / 自由主义,制度—政治,论说体,亲著,28,27,55,0.509
西方哲学,黑格尔,18—19世纪,德国古典哲学 / 辩证法,本体—宇宙,论说体,亲著,28,27,55,0.509
西方哲学,苏格拉底,古典时期,无正式学派（「苏格拉底学派」诸分支均奉其为宗）,修养—救赎,语录体,弟子辑录,25,25,50,0.5
西方哲学,马可·奥勒留,罗马帝国（五贤帝时期）,斯多亚学派（晚期斯多亚）,修养—救赎,私人笔记,亲著,26,26,52,0.5
西方哲学,塞涅卡,罗马帝国初期（朱里亚·克劳狄王朝）,斯多亚学派,修养—救赎,论说体,亲著,28,28,56,0.5
西方哲学,奥古斯丁,晚期罗马帝国／教父哲学,教父哲学（新柏拉图主义底色）,修养—救赎,论说体,亲著,28,28,56,0.5
西方哲学,维特根斯坦,20世纪,分析哲学,名实—逻辑,格言体,亲著,28,28,56,0.5
西方哲学,胡塞尔,20世纪,现象学（创始人）,认识—方法,论说体,亲著,28,28,56,0.5
西方哲学,阿奎那,中世纪盛期（经院哲学）,经院哲学（托马斯主义）,本体—宇宙,论说体,亲著,28,28,56,0.5
西方哲学,雅斯贝尔斯,20世纪,存在哲学（Existenzphilosophie）,存在—自由,论说体,亲著,28,28,56,0.5
西方哲学,马克思,19世纪,马克思主义 / 历史唯物主义,制度—政治,论说体,亲著,28,28,56,0.5
西方哲学,康德,18世纪,德国古典哲学 / 批判哲学,认识—方法,论说体,亲著,29,29,58,0.5
西方哲学,柏拉图,前5—前4世纪,学园派（Academy，创始人）,本体—宇宙,论说体,亲著,30,30,60,0.5
西方哲学,海德格尔,20世纪,现象学 / 存在主义 / 存在思想（Seinsdenken）,存在—自由,论说体,亲著,30,30,60,0.5
西方哲学,加缪,20世纪,荒诞哲学 / 文学存在主义,存在—自由,论说体,亲著,36,36,72,0.5
西方哲学,萨特,20世纪,存在主义,存在—自由,论说体,亲著,36,36,72,0.5
西方哲学,帕斯卡,17世纪,詹森主义（Jansenism）/ 信仰主义,修养—救赎,格言体,遗稿编纂,41,42,83,0.494
西方哲学,笛卡尔,17世纪（近代哲学开端）,唯理论（大陆理性主义）,认识—方法,论说体,亲著,30,32,62,0.484
西方哲学,亚里士多德,前4世纪,逍遥学派（Peripatetic，学园之后）,认识—方法,论说体,亲著,28,30,58,0.483
西方哲学,伊壁鸠鲁,前4—前3世纪,伊壁鸠鲁主义（Epicureanism）,修养—救赎,论说体,亲著,28,30,58,0.483
西方哲学,斯宾诺莎,17世纪,唯理论（理性主义）/ 泛神论,本体—宇宙,论说体,亲著,28,30,58,0.483
西方哲学,第欧根尼,前4世纪,犬儒学派（Cynic）,修养—救赎,残篇,后世纪录,28,30,58,0.483
西方哲学,莱布尼茨,17—18世纪,唯理论（大陆理性主义）,本体—宇宙,论说体,亲著,28,30,58,0.483
西方哲学,罗素,20世纪,分析哲学 / 逻辑原子论,名实—逻辑,论说体,亲著,30,33,63,0.476
西方哲学,休谟,18世纪,经验论（苏格兰启蒙）,认识—方法,论说体,亲著,27,30,57,0.474
西方哲学,洛克,17世纪,经验论（英国经验主义）,认识—方法,论说体,亲著,26,30,56,0.464
西方哲学,尼采,19世纪,生命哲学 / 虚无主义批判（无正式学派，影响存在主义与后现代主义）,存在—自由,格言体,遗稿编纂,24,28,52,0.462
西方哲学,波普尔,20世纪,批判理性主义,认识—方法,论说体,亲著,28,33,61,0.459
西方哲学,阿伦特,20世纪,政治哲学,制度—政治,论说体,亲著,28,34,62,0.452
西方哲学,福柯,20世纪,后结构主义 / 思想史（知识考古学·权力谱系学）,制度—政治,论说体,亲著,28,37,65,0.431
西方哲学,赫拉克利特,前6世纪,爱菲斯学派,本体—宇宙,残篇,残篇,20,38,58,0.345
西方哲学,巴门尼德,前6—前5世纪,埃利亚学派,本体—宇宙,残篇,残篇,11,45,56,0.196
