传统,人物,派别,①界线,①关系,②不动层,⑤目的,③先验,③秩序来源,④互动,④可改变,④干预
中国哲学,孙子,兵家,二分,关系,法·制度,治·秩序,薄,设计,对手,条件,法
中国哲学,韩非,法家（集大成者）,二分,关系,法·制度,治·秩序,薄,设计,对手,制度,法
中国哲学,顾炎武,实学（亭林学派）,二分,关系,法·制度,治·秩序,薄,设计,共在,制度,法
中国哲学,墨子,墨家（创始人）,二分,关系,法·制度,治·秩序,薄,设计,伙伴,制度,理·天
中国哲学,黄宗羲,实学（梨洲学派）,二分,关系,法·制度,治·秩序,薄,设计,共在,制度,法
中国哲学,商鞅,法家,二分,关系,法·制度,治·秩序,薄,设计,对手,制度,法
中国哲学,李贽,儒家·晚明异端（泰州学派后劲，反理学）,未分,关系,物质·实践,本真·自由,厚,涌现,伙伴,我,心
中国哲学,张载,儒家·理学（关学）,未分,关系,物质·实践,成德·成圣,厚,涌现,共在,心,心
中国哲学,王夫之,气学（船山学派）,二分,关系,物质·实践,治·秩序,薄,涌现,共在,制度,理·天
西方哲学,柏拉图,学园派（Academy，创始人）,二分,实体,存在·理念,见真·合一,厚,设计,共在,心,理·天
西方哲学,巴门尼德,埃利亚学派,未分,实体,存在·理念,知·理解,厚,涌现,独在,无,自然
西方哲学,奥古斯丁,教父哲学（新柏拉图主义底色）,统一,关系,神·梵·绝对,见真·合一,厚,设计,共在,心,理·天
西方哲学,阿奎那,经院哲学（托马斯主义）,统一,实体,神·梵·绝对,见真·合一,厚,设计,共在,心,理·天
西方哲学,帕斯卡,詹森主义（Jansenism）/ 信仰主义,二分,实体,神·梵·绝对,见真·合一,厚,涌现,独在,心,心
西方哲学,笛卡尔,唯理论（大陆理性主义）,二分,实体,我思·主体,知·理解,厚,设计,独在,我,理·天
西方哲学,胡塞尔,现象学（创始人）,二分,实体,形式·先验,知·理解,厚,涌现,独在,我,心
西方哲学,康德,德国古典哲学 / 批判哲学,统一,实体,形式·先验,成德·成圣,厚,设计,共在,我,理·天
西方哲学,莱布尼茨,唯理论（大陆理性主义）,统一,实体,形式·先验,知·理解,厚,设计,共在,心,理·天
西方哲学,密尔,功利主义 / 自由主义,二分,实体,目的·中道,幸福·繁荣,薄,涌现,共在,制度,法
西方哲学,亚里士多德,逍遥学派（Peripatetic，学园之后）,二分,实体,目的·中道,幸福·繁荣,薄,涌现,共在,我,自然
西方哲学,维特根斯坦,分析哲学,二分,实体,逻辑·语言,知·理解,薄,涌现,独在,无,自然
西方哲学,罗素,分析哲学 / 逻辑原子论,二分,实体,逻辑·语言,知·理解,薄,涌现,共在,制度,自然
西方哲学,休谟,经验论（苏格兰启蒙）,二分,实体,经验·习惯,知·理解,薄,涌现,共在,我,自然
西方哲学,洛克,经验论（英国经验主义）,二分,实体,经验·习惯,知·理解,薄,涌现,共在,制度,法
西方哲学,波普尔,批判理性主义,二分,实体,经验·习惯,知·理解,薄,涌现,共在,制度,法
西方哲学,爱比克泰德,斯多亚学派,未分,关系,自然律·逻各斯,不动心,厚,涌现,共在,我,心
西方哲学,德谟克利特,原子论（与留基伯共创）,二分,实体,自然律·逻各斯,不动心,薄,涌现,独在,我,自然
西方哲学,马可·奥勒留,斯多亚学派（晚期斯多亚）,未分,关系,自然律·逻各斯,不动心,厚,涌现,共在,我,心
西方哲学,塞涅卡,斯多亚学派,未分,关系,自然律·逻各斯,不动心,厚,涌现,共在,我,心
西方哲学,伊壁鸠鲁,伊壁鸠鲁主义（Epicureanism）,二分,实体,自然律·逻各斯,幸福·繁荣,薄,涌现,伙伴,我,自然
西方哲学,斯宾诺莎,唯理论（理性主义）/ 泛神论,未分,实体,自然律·逻各斯,见真·合一,厚,涌现,共在,我,自然
西方哲学,赫拉克利特,爱菲斯学派,二分,实体,自然律·逻各斯,知·理解,薄,涌现,独在,无,自然
西方哲学,苏格拉底,无正式学派（「苏格拉底学派」诸分支均奉其为宗）,未分,关系,心·灵魂,成德·成圣,厚,涌现,共在,心,心
西方哲学,第欧根尼,犬儒学派（Cynic）,未分,关系,道·自然,合道·逍遥,零,涌现,独在,我,自然
西方哲学,马克思,马克思主义 / 历史唯物主义,二分,关系,物质·实践,治·秩序,薄,设计,共在,制度,法
西方哲学,叔本华,唯意志论 / 悲观主义,未分,实体,意志·生命,解脱·涅槃,厚,涌现,独在,我,自然
西方哲学,尼采,生命哲学 / 虚无主义批判（无正式学派，影响存在主义与后现代主义）,统一,实体,意志·生命,本真·自由,零,涌现,独在,我,自然
西方哲学,克尔凯郭尔,存在主义先驱 / 基督教存在主义,二分,实体,自由·存在,本真·自由,厚,涌现,独在,我,心
西方哲学,雅斯贝尔斯,存在哲学（Existenzphilosophie）,未分,关系,自由·存在,本真·自由,厚,涌现,共在,我,心
西方哲学,海德格尔,现象学 / 存在主义 / 存在思想（Seinsdenken）,未分,关系,自由·存在,本真·自由,厚,涌现,共在,我,自然
西方哲学,加缪,荒诞哲学 / 文学存在主义,未分,关系,自由·存在,本真·自由,零,涌现,共在,我,心
西方哲学,萨特,存在主义,二分,实体,自由·存在,本真·自由,零,涌现,对手,我,心
西方哲学,阿伦特,政治哲学,二分,关系,关系·他者,治·秩序,薄,涌现,共在,关系,心
西方哲学,福柯,后结构主义 / 思想史（知识考古学·权力谱系学）,二分,关系,关系·他者,治·秩序,薄,涌现,对手,关系,法
西方哲学,黑格尔,德国古典哲学 / 辩证法,统一,关系,辩证·历史,知·理解,厚,涌现,共在,制度,理·天
印度哲学,商羯罗,吠檀多不二论（Advaita Vedānta）,未分,关系,神·梵·绝对,见真·合一,厚,涌现,独在,我,心
印度哲学,释迦牟尼,佛教（创始人）,未分,关系,缘起·空,解脱·涅槃,零,涌现,共在,条件,心
印度哲学,龙树,中观派（创始人）,未分,关系,缘起·空,解脱·涅槃,零,涌现,独在,无,自然
印度哲学,克里希那穆提,无派别（反权威、反组织）,未分,关系,自由·存在,当下·无求,零,涌现,共在,我,自然
伊斯兰与波斯,安萨里,伊斯兰神学 / 苏非主义,未分,关系,神·梵·绝对,见真·合一,厚,设计,共在,心,心
伊斯兰与波斯,海亚姆（奥马尔·海亚姆）,波斯诗人 / 数学家（鲁拜体裁）,二分,实体,无常·当下,当下·无求,零,涌现,独在,我,自然
伊斯兰与波斯,鲁米,苏非主义（玛斯纳维传统）,未分,关系,爱,见真·合一,厚,涌现,共在,心,心
日本哲学,道元,日本曹洞宗（创始人）,未分,关系,道·自然,解脱·涅槃,零,涌现,共在,我,自然
日本哲学,吉田兼好,日本随笔 / 隐遁者（兼好法师）,二分,关系,无常·当下,当下·无求,薄,涌现,独在,我,自然
